Height,Weight
187.57142322448811,109.72098511014079
174.70603627656138,73.62273185188151
188.23966769513365,96.49755015358394
182.19668514447775,99.80950418971331
177.49976148723286,93.5986187645829
170.8226598470285,69.0422161541668
174.71410637922045,83.42821884767963
173.60522939943328,76.19035194915736
170.22813214372283,79.8001867279709
161.17949470505067,70.9416420117829
180.83627099875525,84.6425013947739
181.96764500282032,96.95128455104091
164.50647599885,75.80767932324014
175.9789980456698,85.93127230757327
175.87907986372045,84.56504714108983
171.81987403906984,78.10261397892141
183.942524230009,88.916962243456
162.49478733149493,78.41855901894094
176.88575214537084,84.36083528351118
172.55745232918412,82.74726812561521
172.50422749230435,78.97759250388721
176.37617726482034,89.68939099306408
168.01879518063035,67.6639361526894
191.02317298012184,103.76451359280797
172.4487187000549,73.4849212251682
173.08584330743003,87.24568902450659
175.48766382947102,83.6583196302577
184.91414253191076,93.81561209555721
171.24995539556042,79.47563348891016
